Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,5.120, 1.788, 2.012,2.012
2006-01-01 00:10:00,5.120, 1.788, 2.227,2.227
2006-01-01 00:20:00,5.140, 1.812, 0.130,0.130
2006-01-01 00:30:00,5.170, 1.848, 2.311,2.311
2006-01-01 00:40:00,5.240, 1.929, 1.849,1.849
2006-01-01 00:50:00,5.360, 2.118, 0.079,0.079
2006-01-01 01:00:00,5.510, 2.358, 1.564,1.564
2006-01-01 01:10:00,5.660, 2.583, 2.369,2.369
2006-01-01 01:20:00,5.810, 2.814, 3.466,3.466
2006-01-01 01:30:00,5.960, 3.063, 3.764,3.764
2006-01-01 01:40:00,6.090, 3.258, 1.857,1.857
2006-01-01 01:50:00,6.100, 3.279, 4.023,4.023
2006-01-01 02:00:00,5.910, 2.982, 3.632,3.632
2006-01-01 02:10:00,5.430, 2.232, 1.914,1.914
2006-01-01 02:20:00,4.880, 1.542, 1.738,1.738
2006-01-01 02:30:00,4.600, 1.236, 0.000,0.000
2006-01-01 02:40:00,4.550, 1.194, 0.757,0.757
2006-01-01 02:50:00,4.550, 1.185, 1.655,1.655
2006-01-01 03:00:00,4.510, 1.146, 1.327,1.327
2006-01-01 03:10:00,4.460, 1.098, 1.762,1.762
2006-01-01 03:20:00,4.470, 1.107, 1.063,1.063
2006-01-01 03:30:00,4.590, 1.239, 0.000,0.000
2006-01-01 03:40:00,4.870, 1.545, 1.839,1.839
2006-01-01 03:50:00,5.400, 2.211, 2.748,2.748
2006-01-01 04:00:00,6.020, 3.189, 3.181,3.181
2006-01-01 04:10:00,6.560, 4.236, 4.356,4.356
2006-01-01 04:20:00,6.870, 4.926, 5.022,5.022
2006-01-01 04:30:00,6.880, 4.953, 4.456,4.456
2006-01-01 04:40:00,6.780, 4.749, 4.705,4.705
2006-01-01 04:50:00,6.780, 4.731, 3.431,3.431
2006-01-01 05:00:00,6.860, 4.926, 4.961,4.961
2006-01-01 05:10:00,7.010, 5.253, 1.256,1.256
2006-01-01 05:20:00,7.210, 5.676, 4.877,4.877
2006-01-01 05:30:00,7.370, 6.123, 2.974,2.974
2006-01-01 05:40:00,7.480, 6.438, 4.034,4.034
2006-01-01 05:50:00,7.570, 6.693, 7.471,7.471
2006-01-01 06:00:00,7.650, 6.939, 7.212,7.212
2006-01-01 06:10:00,7.730, 7.182, 6.139,6.139
2006-01-01 06:20:00,7.810, 7.425, 9.062,9.062
2006-01-01 06:30:00,7.870, 7.605, 4.173,4.173
2006-01-01 06:40:00,7.950, 7.818, 7.233,7.233
